Name,Rating,Rating Count,Price Category,Address,ZipCode
Los Amigos Restaurant,4.4,198,1,"674 E 180th St, Bronx, NY 10457",10457
Green Garden Chinese Restaurant,3.6,94,2,"752 Forest Ave, Staten Island, NY 10310",10310
FIesta TexMex Restaurant,3.9,49,2,"2931 Fulton St, Brooklyn, NY 11207",11207
The Avenue Restaurant & Bar,4.3,331,1,"71-22 Myrtle Ave, Queens, NY 11385",11385
Cowgirl SeaHorse,4.3,1251,2,"259 Front St, New York, NY 10038",10038
Chama Mama Chelsea,4.6,1810,2,"149 W 14th St, New York, NY 10011",10011
Punto Fijo II Restaurant,4.3,213,1,"30 Howe Ave, Passaic, NJ 07055",7055
Golden Krust Caribbean Restaurant,3.9,228,1,"1936 Ralph Ave, Brooklyn, NY 11234",11234
Abey African & Mediterranean Restaurant,4.3,46,2,"58 Richmond Ter, Staten Island, NY 10301",10301
Tony Da Caneca,4.6,490,2,"72 Elm Rd, Newark, NJ 07105",7105
The Simpson Restaurant and Bar,4.6,2869,2,"673 Atlantic Ave, Brooklyn, NY 11217",11217
Mi Pueblito,4.4,602,1,"412 Kearny Ave, Kearny, NJ 07032",7032
Columbia BBQ Restaurant,4.1,340,1,"65 Washington Ave, Belleville, NJ 07109",7109
Duet Restaurant,4.2,45,2,"37 Barrow St, New York, NY 10014",10014
Pasta Louise Restaurant,4.5,393,2,"1114 8th Ave, Brooklyn, NY 11215",11215
Marani Restaurant,4.7,918,2,"97-26 63rd Rd, Rego Park, NY 11374",11374
El Imperial Restaurant,4.4,384,2,"334 Bloomfield Ave A, Newark, NJ 07107",7107
Daily Provisions - Upper West Side,4.4,488,2,"375 Amsterdam Ave, New York, NY 10024",10024
El Barquito Restaurant,4.1,101,,"220 Garibaldi Ave, Lodi, NJ 07644",7644
Libertad Restaurant,4.1,509,1,"96-19 Liberty Ave, Queens, NY 11417",11417
Terrace Fish & Chips,4,196,2,"77 Pearl St, New York, NY 10004",10004
Subway,3.8,321,1,"11 Broadway Unit #155, New York, NY 10004",10004
Five Stars Thai Restaurant,4.3,475,2,"324 29th St, Union City, NJ 07087",7087
Beso,4.5,1463,2,"70 Bay St, Staten Island, NY 10301",10301
Aragvi,4.8,492,2,"230 E 44th St, New York, NY 10017",10017
The Latin Flavor Restaurant & Lounge,4.3,383,2,"870 Broadway, Newark, NJ 07104",7104
Five Leaves,4.3,2207,2,"18 Bedford Ave, Brooklyn, NY 11222",11222
IKEA Restaurant,4.1,563,1,"1 Beard St, Brooklyn, NY 11231",11231
La Barca Restaurant,4.1,580,1,"3892 Broadway, New York, NY 10032",10032
Garcia's Restaurant,4.3,1490,2,"800 John F. Kennedy Blvd West, Union City, NJ 07087",7087
Golden Krust Caribbean Restaurant,3.7,603,1,"1245 Teaneck Rd B, Teaneck, NJ 07666",7666
Pancetta Italian Restaurant,3.9,78,,"100 Frank W Burr Blvd, Teaneck, NJ 07666",7666
Rossini's,4.5,567,3,"108 E 38th St, New York, NY 10016",10016
Golden Krust Caribbean Restaurant,3.6,253,1,"47 W 14th St, New York, NY 10011",10011
Tamara’s Jamaican Restaurant,3,46,,"2612 Pitkin Ave, Brooklyn, NY 11208",11208
Chelsea Ristorante Italiano,4.2,518,2,"108 8th Ave, New York, NY 10011",10011
El Nuevo Caribe Restaurant,5,1,,"214 Central Ave, Brooklyn, NY 11221",11221
Yummy,3.9,120,,"1195 Flatbush Ave, Brooklyn, NY 11226",11226
Leo's Café & El Guame Restaurant,4.5,236,1,"598 Broadway, Newark, NJ 07104",7104
Astro,4.1,1252,2,"1361 6th Ave, New York, NY 10019",10019
Darna Falafel,4.7,365,1,"200 Court St, Brooklyn, NY 11201",11201
Royal Restaurant & Grill,3.8,46,1,"1075 Liberty Ave, Brooklyn, NY 11208",11208
Wall Street Grill,4.6,1028,3,"128 Pearl St, New York, NY 10005",10005
Dania's Restaurant,4.3,380,1,"423 Orange St, Newark, NJ 07107",7107
Honey Badger | Fine Dining Restaurant,4.5,168,,"67 Fenimore St, Brooklyn, NY 11225",11225
Cheng's Restaurant,3.7,115,,"2040 Forest Ave, Staten Island, NY 10303",10303
Luciano's San Vito Restaurant,4.5,537,2,"406 Broadway, Bayonne, NJ 07002",7002
"Breakfast, Lunch & Brunch Restaurant of Park Slope",5,5,,"Store Front, 548 4th Ave, Brooklyn, NY 11215",11215
Morelos Mexican Restaurant & Deli,4.2,83,1,"6 Cebra Ave, Staten Island, NY 10301",10301
Victory Sweet Shop/Victory Garden Cafe,4.5,372,2,"21-69 Steinway St, Queens, NY 11105",11105
BLACKBARN Restaurant,4.4,1101,3,"19 E 26th St, New York, NY 10010",10010
Tosokchon Restaurant NYC,4.1,119,2,"14 E 33rd St 1FL A, New York, NY 10016",10016
Caribbean Station Restaurant,4.4,255,1,"274 Trenton Ave, Paterson, NJ 07503",7503
La Kokona Restaurant,4.3,256,,"180 Monroe St, Passaic, NJ 07055",7055
Hunkar Restaurant,4.7,685,2,"319 Hackensack St, Carlstadt, NJ 07072",7072
Prime 623 Restaurant And Bar,4.4,229,,"1566 Ralph Ave, Brooklyn, NY 11234",11234
El Jocoreño Deli Restaurant,4.4,225,1,"6024 Hudson Ave, West New York, NJ 07093",7093
Extra Super Restaurant,4.2,211,2,"5525 Palisade Ave, West New York, NJ 07093",7093
House of Joy,4.3,766,2,"28 Pell St, New York, NY 10013",10013
Dos Caminos,4,2298,2,"675 Hudson St, New York, NY 10014",10014
Olive Garden Italian Restaurant,4.3,5887,2,"500 NJ-3, Secaucus, NJ 07094",7094
Elizabeth Restaurant,4.7,68,,"440 Bergen Ave, Jersey City, NJ 07304",7304
Segovia Restaurant,4.5,2173,2,"150 Moonachie Rd, Moonachie, NJ 07074",7074
Dock Asian Eatery,4.5,575,2,"22 Wyckoff Ave, Brooklyn, NY 11237",11237
Brasas Grill Bar & Restaurant,4.3,396,2,"449 Kearny Ave, Kearny, NJ 07032",7032
Ruzana,4.3,786,,"486 85th St, Brooklyn, NY 11209",11209
Lhasa Fast Food,4.4,667,1,"76-03 37th Ave, Queens, NY 11372",11372
Union Square Events,4.2,42,,"147 41st St Floor 4, Brooklyn, NY 11232",11232
Roma Coffee Bar Restaurant & Pizzeria,4.7,987,2,"312 Clifton Ave, Clifton, NJ 07011",7011
Santino’s Gourmet Deli And Restaurant,4.8,53,1,"409 Forest Ave, Staten Island, NY 10301",10301
Lotus Thai Cuisine,4.2,423,2,"7007 Park Ave, Guttenberg, NJ 07093",7093
Deja Vu Restaurant & Bar,4.5,444,2,"50 River Dr, Garfield, NJ 07026",7026
La Piazza Pizzeria & Restaurant,4.2,300,2,"1445 Richmond Ave, Staten Island, NY 10314",10314
Golden Krust Caribbean Restaurant,3.6,337,1,"2860 John F. Kennedy Blvd, Jersey City, NJ 07306",7306
Old Tbilisi Garden,4.4,944,2,"174 Bleecker St, New York, NY 10012",10012
El Provocon Restaurant,4.3,170,1,"443 21st Ave, Paterson, NJ 07513",7513
Otra Casita Restaurant & Bakery,3.9,513,2,"533 Ferry St, Newark, NJ 07105",7105
Delicias Dominican Restaurant,4.3,70,2,"2419 Grand Concourse, Bronx, NY 10468",10468
Olive Garden Italian Restaurant,4.1,4424,2,"92-10 59th Ave, Elmhurst, NY 11373",11373
Gracie Mews Diner,4.3,860,2,"1550 1st Ave., New York, NY 10028",10028
El Tina Riverdale Restaurant,4.6,282,,"308 W 231st St, Bronx, NY 10463",10463
Pio Pio 58 - Pio Pio Café & Restaurant 5800 Hudson,4.3,332,2,"5800 Hudson Ave, West New York, NJ 07093",7093
Fiorentini Restaurant,4.5,273,,"98 Park Ave, Rutherford, NJ 07070",7070
El Tina Harlem Restaurant,4.5,973,1,"511 W 125th St, New York, NY 10027",10027
Istanbul Grill House Turkish Restaurant,4.8,117,2,"978 Main St, Paterson, NJ 07503",7503
Noula Restaurant,4.9,138,2,"5 Martense St, Brooklyn, NY 11226",11226
D'Patrones Deli,4.4,30,2,"1117 Summit Ave, Union City, NJ 07087",7087
Aroma & Sabor Restaurant,4.7,106,,"294 Park Ave, Newark, NJ 07107",7107
არგო,4.6,412,2,"1985 Coney Island Ave, Brooklyn, NY 11223",11223
Yemen Café,4.5,2932,2,"176 Atlantic Ave, Brooklyn, NY 11201",11201
"Los Amigos Restaurant, LLC",4.2,90,2,"395 Central Ave, Jersey City, NJ 07307",7307
Clinton St. Baking Company,4.4,5033,2,"4 Clinton St, New York, NY 10002",10002
Melany Restaurant,3.8,563,1,"785 Flatbush Ave, Brooklyn, NY 11226",11226
Kitchen Grill,4.6,197,2,"914 a Fulton St, Brooklyn, NY 11238",11238
La Casona Cafe Restaurant,4.7,189,1,"598 21st Ave, Paterson, NJ 07513",7513
Sofia,4.3,78,1,"187 Suydam St, Brooklyn, NY 11221",11221
DIG,4.1,50,2,"138 Willoughby St, Brooklyn, NY 11201",11201
Daily Provisions - Cobble Hill,4.2,48,2,"151 Court St, Brooklyn, NY 11201",11201
Joia Restaurant,4.4,340,2,"1100 Frank E Rodgers Blvd S, Harrison, NJ 07029",7029
Chadwick's,4.6,771,2,"8822 3rd Ave, Brooklyn, NY 11209",11209
Phở Grand,4.1,847,1,"277C Grand St, New York, NY 10002",10002
Marcystela Restaurant,4.1,16,,"145 Wilson Ave, Newark, NJ 07105",7105
La Bohème Restaurant,4.5,222,,"233 Clinton St, Hoboken, NJ 07030",7030
Myrna's Restaurant,4.1,261,2,"307 Kearny Ave, Kearny, NJ 07032",7032
Connolly's,4.4,4107,2,"121 W 45th St, New York, NY 10036",10036
M & K,4.2,278,1,"190 Bay St, Staten Island, NY 10301",10301
River Deli,4.4,479,2,"32 Joralemon St, Brooklyn, NY 11201",11201
Terrace Restaurant & Bakery,4.8,562,2,"280 5th Ave, Brooklyn, NY 11215",11215
A Shen Zhou Restaurant,4.1,50,2,"159 Wilson Ave, Brooklyn, NY 11237",11237
Taco Bell,4.1,1545,1,"508 Washington Ave, Belleville, NJ 07109",7109
Luigi's Restaurant,3.8,122,2,"54 Mt Vernon St, Ridgefield Park, NJ 07660",7660
El Cuencanito,3.9,521,1,"99-12 Alstyne Ave, Queens, NY 11368",11368
IKEA Restaurant,4.2,252,1,"1000 Ikea Dr, Elizabeth, NJ 07201",7201
Latinos Restaurant Bar,4.8,8,,"2030 Richmond Terrace, Staten Island, NY 10302",10302
Mary's Restaurant,4.4,472,1,"18 Myrtle Ave, Passaic, NJ 07055",7055
Holland Bay Restaurant,4.7,126,1,"78 Victory Blvd, Staten Island, NY 10301",10301
7 Old Fulton,3.5,488,3,"7 Old Fulton St, Brooklyn, NY 11201",11201
Las Chelitas,4.5,177,2,"7312 13th Ave, Brooklyn, NY 11228",11228
Gram Bangla Restaurant,3.5,133,,"7605 101st Ave, Queens, NY 11416",11416
Anatolia Restaurant,4.8,202,1,"1021 Main St, Paterson, NJ 07503",7503
Leaf,3.7,177,1,"1161 Myrtle Ave, Brooklyn, NY 11206",11206
Panna II Garden Indian Restaurant,3.5,936,1,"93 1st Ave. #2, New York, NY 10003",10003
Lido Restaurant,4.2,655,1,"701 Main St, Hackensack, NJ 07601",7601
Gottlieb's Restaurant,4.6,994,2,"352 Roebling St #6240, Brooklyn, NY 11211",11211
Clark's Restaurant,4.4,1397,2,"80 Clark St, Brooklyn, NY 11201",11201
QDOBA Mexican Eats,4,534,1,"905 Bayonne Crossing Way, Bayonne, NJ 07002",7002
Asia Glatt Kosher,4.4,490,2,"4813 New Utrecht Ave, Brooklyn, NY 11219",11219
Lahore Restaurant and Catering,4.5,1616,2,"1277 Paterson Plank Rd, Secaucus, NJ 07094",7094
Sabor de Colombia Restaurant and Bakery,4.3,482,2,"4601 5th Ave, Brooklyn, NY 11220",11220
Don Julio,4.1,1308,2,"50 Marshall St, Elizabeth, NJ 07206",7206
San Jose Restaurant,4.4,607,1,"109 E 153rd St, Bronx, NY 10451",10451
Golden Krust Caribbean Restaurant,3.7,128,1,"918 Fulton St, Brooklyn, NY 11238",11238
Oporto Restaurant,4.7,30,2,"141 Fleming Ave, Newark, NJ 07105",7105
Wo Hop,4.4,3447,2,"17 Mott St, New York, NY 10013",10013
Konoz Restaurant,4.8,224,2,"16 Clinton St, Newark, NJ 07102",7102
Golden Krust Caribbean Restaurant,3.5,102,1,"823 Franklin Ave, Brooklyn, NY 11225",11225
GOLDEN WUISH (THE DUCKHOUSE),4.4,243,2,"6 Platt St, New York, NY 10038",10038
Shake Shack Empire Outlets - Staten Island Ferry,4.3,1104,2,"35 Richmond Ter Space 323, Staten Island, NY 10301",10301
Veselka,4.6,6706,2,"144 2nd Ave, New York, NY 10003",10003
Tom’s Restaurant,4.4,2436,1,"782 Washington Ave, Brooklyn, NY 11238",11238
Paradise,4.2,188,2,"1021 Ogden Ave, Bronx, NY 10452",10452
Cinderellas Mexican Restaurant,4,191,2,"108 Victory Blvd, Staten Island, NY 10301",10301
I Love Paraguay Restaurant,4.6,1154,2,"4316 Greenpoint Ave, Queens, NY 11104",11104
Paladar Restaurant Ecuatoriano,4.2,78,1,"785-B Main Ave, Passaic, NJ 07055",7055
Bo Ky,4,1210,1,"80 Bayard St, New York, NY 10013",10013
The Little Food Cafe,4.4,654,1,"330 John F. Kennedy Blvd, Bayonne, NJ 07002",7002
Spanish Pavillion Restaurant,4.4,1238,2,"31 Harrison Ave, Harrison, NJ 07029",7029
El Cofre,4.1,345,1,"454 Myrtle Ave, Brooklyn, NY 11205",11205
Park Plaza,4.3,1351,2,"220 Cadman Plz W, Brooklyn, NY 11201",11201
Peru Pa' Ti,4.3,246,2,"1904 Bergenline Ave, Union City, NJ 07087",7087
Fava Restaurant,5,37,2,"2009 Victory Blvd, Staten Island, NY 10314",10314
Golden Eagle Restaurant,4.1,393,1,"975 Morris Park Ave, Bronx, NY 10462",10462
Andros Restaurant,4.1,1083,2,"6 Wilson Ave, Newark, NJ 07105",7105
Ferdinando's Focacceria,4.6,469,2,"151 Union St, Brooklyn, NY 11231",11231
Joseph's Restaurant,4.5,287,3,"3 Hanover Square, New York, NY 10004",10004
Sawadeja Thai Restaurant,4.6,375,2,"64 Market St, Clifton, NJ 07012",7012
Golden Krust Caribbean Restaurant,3.7,99,1,"1862 Nostrand Ave, Brooklyn, NY 11226",11226
Tropilyz 116th,4.1,449,1,"164 W 116th St, New York, NY 10026",10026
La Bella Vita restaurant,4.6,2118,2,"163 Mulberry St, New York, NY 10013",10013
Rico Chimi Restaurant,4.1,478,2,"1492 Myrtle Ave, Brooklyn, NY 11237",11237
LILLI RESTAURANT,4.6,123,,"1344 Utica Ave, Brooklyn, NY 11203",11203
Haven Riverfront Restaurant and Bar,4.4,2132,3,"2 Main St, Edgewater, NJ 07020",7020
El Piloncito Restaurant & Multiservices,4.5,51,2,"214 Essex St, Hackensack, NJ 07601",7601
Santoni's Pizzeria and Restaurant,4.4,545,1,"42 Outwater Ln, Garfield, NJ 07026",7026
Sushi Jiro Japanese Restaurant,,,1,"7308 3rd Ave, Brooklyn, NY 11209",11209
Manhatta,4.6,1871,,"28 Liberty St 60th floor, New York, NY 10005",10005
The Mark Restaurant by Jean-Georges,3.4,251,,"25 E 77th St, New York, NY 10075",10075
Mama Elena's Restaurant,4.3,236,2,"395 21st Ave, Paterson, NJ 07513",7513
Santo Domingo Restaurant,4,317,1,"862 New Lots Ave, Brooklyn, NY 11208",11208
Dosa Garden,4,310,1,"323 Victory Blvd, Staten Island, NY 10301",10301
La Llorona Restaurant Inc,4.4,79,1,"6131 John F. Kennedy Blvd, North Bergen, NJ 07047",7047
Bridge Coffee Shop,4.4,324,1,"73 Bridge St, Brooklyn, NY 11201",11201
Leña y Carbón Restaurant & Bar,4.5,247,2,"414 Bergen St, Harrison, NJ 07029",7029
Mamak House,4.4,286,2,"250 NJ-440, Jersey City, NJ 07305",7305
Los Charros Mexican Restaurant & Bar,4.2,17,,"244 Port Richmond Ave, Staten Island, NY 10302",10302
Oriental Garden,4.4,204,1,"586 Broadway, Passaic, NJ 07055",7055
Kanoon Restaurant,4.2,863,1,"349 Hazel St, Clifton, NJ 07011",7011
Augustino's,4.4,283,,"1104 Washington St, Hoboken, NJ 07030",7030
Polleria Restaurant El Hornero,3.5,535,2,"422 Kearny Ave, Kearny, NJ 07032",7032
Lezzet Restaurant,4.9,170,,"925 Main St, Paterson, NJ 07503",7503
Restaurant Yuu,4.4,79,,"55 Nassau Ave, Brooklyn, NY 11222",11222
Mishki Micuy Peruvian restaurant,4,29,,"875 Post Ave, Staten Island, NY 10310",10310
Bonanza Colombian Delights,4.3,620,2,"342B Main St, Hackensack, NJ 07601",7601
Master Kitchen Restaurant,4.7,24,,"141 Passaic St, Passaic, NJ 07055",7055
Marc Forgione,4.6,620,3,"134 Reade St, New York, NY 10013",10013
El Paraiso Restaurant Bar,4.3,78,2,"191 5th Ave, Brooklyn, NY 11215",11215
